id,english,spanish,occurrences,element_types,pages
S0001,You may also be interested in…,,30,h2,all-about-hair/growth-phases/index.html;all-about-hair/hair-and-nails/index.html;all-about-hair/hair-facts/index.html;all-about-hair/index.html;all-about-hair/nutritional-supply/index.html;all-about-hair/structure-of-healthy-hair/index.html;hair-loss/emotional-effects-of-hair-loss/index.html;hair-loss/female-hair-loss/causes-of-female-hair-loss/index.html;hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html;hair-loss/male-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/types-of-male-hair-loss/index.html;pantogar/index.html;pantogar/pantogar-capsules/convincing-results/index.html;pantogar/pantogar-capsules/effective-treatment-of-diffuse-hair-loss/index.html;pantogar/pantogar-capsules/how-to-use-pantogar/index.html;pantogar/pantogar-capsules/index.html;pantogar/pantogar-capsules/user-experiences-with-pantogar/index.html;pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/convincing-results/index.html;pantogar/pantogar-shampoo-tonic/for-men/index.html;pantogar/pantogar-shampoo-tonic/index.html;pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/convincing-results/index.html;pantogar/pantogar-vegan/how-pantogar-vegan-works/index.html;pantogar/pantogar-vegan/how-to-use-pantogar-vegan/index.html;pantogar/pantogar-vegan/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/preparation-for-doctors-visit/index.html;service/product-availability/index.html
S0002,Patient experiences,,15,h1;h3,all-about-hair/growth-phases/index.html;all-about-hair/index.html;hair-loss/female-hair-loss/causes-of-female-hair-loss/index.html;hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/female-hair-loss/types-of-female-hair-loss/index.html;pantogar/pantogar-capsules/convincing-results/index.html;pantogar/pantogar-capsules/effective-treatment-of-diffuse-hair-loss/index.html;pantogar/pantogar-capsules/how-to-use-pantogar/index.html;pantogar/pantogar-capsules/index.html;pantogar/pantogar-capsules/user-experiences-with-pantogar/index.html;pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0003,Availability of Pantogar&reg; product range or corresponding local products,,12,h1;h3,pantogar/index.html;pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/convincing-results/index.html;pantogar/pantogar-shampoo-tonic/for-men/index.html;pantogar/pantogar-shampoo-tonic/index.html;pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/index.html;service/preparation-for-doctors-visit/index.html;service/product-availability/index.html
S0004,Convincing results,,11,h1;h3,pantogar/pantogar-capsules/convincing-results/index.html;pantogar/pantogar-capsules/effective-treatment-of-diffuse-hair-loss/index.html;pantogar/pantogar-capsules/how-to-use-pantogar/index.html;pantogar/pantogar-capsules/index.html;pantogar/pantogar-capsules/user-experiences-with-pantogar/index.html;pantogar/pantogar-shampoo-tonic/convincing-results/index.html;pantogar/pantogar-shampoo-tonic/index.html;pantogar/pantogar-vegan/convincing-results/index.html;pantogar/pantogar-vegan/how-pantogar-vegan-works/index.html;pantogar/pantogar-vegan/how-to-use-pantogar-vegan/index.html;pantogar/pantogar-vegan/index.html
S0005,How Pantogar&reg; capsules works,,9,h1;h3,all-about-hair/growth-phases/index.html;all-about-hair/index.html;hair-loss/female-hair-loss/causes-of-female-hair-loss/index.html;hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/female-hair-loss/types-of-female-hair-loss/index.html;pantogar/pantogar-capsules/convincing-results/index.html;pantogar/pantogar-capsules/effective-treatment-of-diffuse-hair-loss/index.html;pantogar/pantogar-capsules/user-experiences-with-pantogar/index.html;service/preparation-for-doctors-visit/index.html
S0006,Professional advice,,7,h1;h3,hair-loss/female-hair-loss/index.html;hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/female-hair-loss/types-of-female-hair-loss/index.html;hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html;hair-loss/male-hair-loss/index.html;hair-loss/male-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/types-of-male-hair-loss/index.html
S0007,Preparation for doctor&#8217;s visit,,7,h1;h3,pantogar/index.html;pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/index.html;service/preparation-for-doctors-visit/index.html;service/product-availability/index.html
S0008,Hair facts,,6,h1;h3,all-about-hair/growth-phases/index.html;all-about-hair/hair-and-nails/index.html;all-about-hair/hair-facts/index.html;all-about-hair/index.html;all-about-hair/nutritional-supply/index.html;all-about-hair/structure-of-healthy-hair/index.html
S0009,Emotional effects of hair loss,,6,h1;h3,hair-loss/emotional-effects-of-hair-loss/index.html;hair-loss/index.html;hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html;hair-loss/male-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/types-of-male-hair-loss/index.html;pantogar/index.html
S0010,Pantogar&reg; vegan capsules,,6,h1;h3,pantogar/index.html;pantogar/pantogar-capsules/index.html;pantogar/pantogar-vegan/convincing-results/index.html;pantogar/pantogar-vegan/how-pantogar-vegan-works/index.html;pantogar/pantogar-vegan/how-to-use-pantogar-vegan/index.html;pantogar/pantogar-vegan/index.html
S0011,Nutritional supply,,5,h1;h3,all-about-hair/hair-and-nails/index.html;all-about-hair/hair-facts/index.html;all-about-hair/index.html;all-about-hair/nutritional-supply/index.html;all-about-hair/structure-of-healthy-hair/index.html
