S0023	Slovenia	Eslovenia
S0024	Mongolia	Mongolia
S0025	Iraq	Irak
S0026	Hong Kong	Hong Kong
S0027	Peru	Perú
S0028	El Salvador	El Salvador
S0029	Dominican Republic	República Dominicana
S0030	Panama	Panamá
S0031	Mexico	México
S0032	Guatemala	Guatemala
S0033	South Korea	Corea del Sur
S0034	China	China
S0035	Yemen	Yemen
S0036	United Arab Emirates	Emiratos Árabes Unidos
S0037	Oman	Omán
S0038	Lebanon	Líbano
S0039	Kyrgyzstan	Kirguistán
S0040	Kuwait	Kuwait
S0041	Uzbekistan	Uzbekistán
S0042	Turkmenistan	Turkmenistán
S0043	Serbia	Serbia
S0044	Montenegro	Montenegro
S0045	Malta	Malta
S0046	Macedonia	Macedonia
S0047	Lithuania	Lituania
S0048	Latvia	Letonia
S0049	Germany	Alemania
S0050	Georgia	Georgia
S0051	Estonia	Estonia
S0052	Croatia	Croacia
S0053	Belarus	Bielorrusia
S0054	Costa Rica	Costa Rica
S0055	Brazil	Brasil
S0056	Singapore	Singapur
S0057	Kingdom of Saudi Arabia	Reino de Arabia Saudita
S0058	Kazakhstan	Kazajistán
S0059	Jordan	Jordania
S0060	Egypt	Egipto
S0061	Ukraine	Ucrania
S0062	Switzerland	Suiza
S0063	Russia	Rusia
S0064	Luxembourg	Luxemburgo
S0065	Cyprus	Chipre
S0066	Azerbaijan	Azerbaiyán
S0067	Austria	Austria
S0068	Armenia	Armenia
S0072	Availability - Pantogar	Disponibilidad - Pantogar
S0076	Convincing results - Pantogar	Resultados convincentes - Pantogar
S0093	Pantogar®	Pantogar®
S0094	Pantogar® Shampoo & Pantogar® Tonic for women	Pantogar® Shampoo y Pantogar® Tonic para mujeres
S0095	Pantogar® Anti hair loss shampoo & Pantogar® Anti hair loss tonic for men	Pantogar® Shampoo anticaída y Pantogar® Tonic anticaída para hombres
S0097	Pantogar® shampoo & tonic	Pantogar® shampoo y tonic
S0098	Pantogar® Anti hair loss shampoo & Pantogar® Anti hair loss tonic for men	Pantogar® Shampoo anticaída y Pantogar® Tonic anticaída para hombres
S0099	Pantogar® Shampoo & Pantogar® Tonic for women	Pantogar® Shampoo y Pantogar® Tonic para mujeres
S0103	Growth phases - Pantogar	Fases de crecimiento - Pantogar
S0106	Treatment for brittle fingernails: Pantogar® capsules	Tratamiento para uñas quebradizas: cápsulas Pantogar®
S0109	Other causes of brittle fingernails	Otras causas de uñas quebradizas
S0110	Pantogar® capsules contain active ingredients that help in the treatment of brittle fingernails	Las cápsulas Pantogar® contienen ingredientes activos que ayudan en el tratamiento de las uñas quebradizas
